식품명,대분류,소분류,기준량,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg),식품중량
어묵 매운탕,국,찌개 및 전골류,100ml,39.0,5.66,2.72,0.82,1.57,0.8,204.0,282.0
어묵 오이무침,서브 반찬2,생채·무침류,100ml,126.0,18.18,7.65,3.07,5.51,1.3,532.0,105.0
어묵국,국,국 및 탕류,100ml,51.0,6.34,3.91,1.19,1.19,0.7,467.0,210.0
양송이버섯볶음,메인 반찬,볶음류,100ml,102.0,5.16,4.66,7.57,2.98,1.0,216.0,117.0
양장피,서브 반찬2,생채·무침류,100ml,81.0,5.33,10.67,1.8,3.15,1.8,362.0,344.0
양파볶음,메인 반찬,볶음류,100ml,67.0,4.72,0.89,5.18,3.87,1.4,323.0,105.0
양배추 샐러드,서브 반찬2,생채·무침류,100ml,99.0,4.32,0.9,8.95,2.2,1.4,145.0,122.0
양배추 초나물,서브 반찬2,나물·숙채류,100ml,65.0,9.45,2.03,2.75,5.61,2.4,175.0,113.0
양배추부추무침,서브 반찬2,생채·무침류,100ml,34.0,6.71,1.86,0.51,3.44,3.2,327.0,90.0
양상추 샐러드,서브 반찬2,생채·무침류,100ml,78.0,4.84,1.07,6.29,3.25,1.0,87.0,85.0
양념 오징어젓,김치,젓갈류,100ml,112.0,15.71,5.09,3.35,7.91,2.8,994.0,69.0
양미리조림,메인 반찬,조림류,100ml,143.0,5.61,18.13,4.45,1.53,0.7,286.0,123.0
양배추 겉절이,서브 반찬2,생채·무침류,100ml,39.0,6.5,1.72,1.24,3.21,2.4,388.0,114.0
양배추 사과 샐러드,서브 반찬2,생채·무침류,100ml,141.0,11.56,1.05,10.68,8.29,2.2,74.0,104.0
양념 돼지고기튀김,서브 반찬,튀김류,100ml,189.0,13.89,12.88,8.58,2.19,0.7,347.0,192.0
애호박부침개,서브 반찬,전·적 및 부침류,100ml,141.0,16.23,6.38,5.28,1.35,1.7,50.0,119.0
애호박전,서브 반찬,전·적 및 부침류,100ml,87.0,6.0,2.24,5.88,0.98,1.0,98.0,200.0
애호박찌개,국,찌개 및 전골류,100ml,38.0,3.87,3.66,0.95,0.83,1.4,210.0,305.0
애호박찜,메인 반찬,찜류,100ml,36.0,4.43,1.73,1.46,1.98,1.7,574.0,128.0
연근전,서브 반찬,전·적 및 부침류,100ml,82.0,10.31,1.88,3.53,0.57,1.2,14.0,161.0
연근조림,메인 반찬,조림류,100ml,76.0,16.09,1.6,0.74,3.32,1.9,322.0,110.0
연근튀김,서브 반찬,튀김류,100ml,156.0,16.27,3.11,8.36,0.94,1.9,389.0,120.0
오징어볶음,메인 반찬,볶음류,100ml,82.0,7.65,8.49,2.0,3.2,1.3,270.5,270.0
오징어불고기,메인 반찬,구이류,100ml,123.0,7.35,16.38,3.22,2.92,1.3,366.0,231.0
오징어 덮밥,밥,밥류,100ml,78.0,13.18,4.17,0.79,1.36,0.75,94.0,804.0
오징어국,국,국 및 탕류,100ml,24.0,1.53,3.72,0.39,0.49,0.5,235.0,300.0
오징어무침,서브 반찬2,생채·무침류,100ml,77.5,7.1,9.39,1.38,4.25,1.4,210.5,117.5
오이생채,서브 반찬2,생채·무침류,100ml,31.2,5.92,1.37,0.68,3.23,1.64,260.4,105.0
오이소박이,김치,김치류,100ml,39.0,7.61,2.7,0.51,2.71,3.3,1933.0,100.0
